Team,HGS,AGS,HAS,AAS,HGC,AGC,HDS,ADS,HTYCI,ATYCI,HTRCI,ATRCI,HTSOTI,ATSOTI,HTFI,ATFI,HTSI,ATSI,HTCKI,ATCKI,HTCR,ATCR
Arsenal,37,26,1.455486542443064,1.474076837001119,12,27,0.5953002610966057,1.2138420585625553,1.1624472573839664,0.9512925170068027,0.0,0.8685714285714284,1.0238744884038198,1.0592334494773519,1.0906524466750314,1.0428345745881291,0.959953434225844,0.987012987012987,1.0738177623990774,0.9080234833659492,17.050691244239633,17.333333333333336
Bournemouth,28,15,1.1014492753623188,0.793733681462141,21,35,1.04177545691906,1.4685990338164252,1.2827004219409284,0.6562539682539682,1.2666666666666666,0.0,0.8942701227830832,1.0056630221474627,0.9118569636135508,0.7491943127962085,0.8139697322467986,1.0501818181818183,0.8765859284890427,1.25662100456621,15.217391304347828,8.771929824561402
Brighton,17,15,0.7642709257616089,0.793733681462141,15,27,0.8504289444237224,1.132919254658385,1.1452682338758289,0.9650793650793651,1.4476190476190476,1.6213333333333333,0.6665367374780744,0.8181665264928512,1.1783473740813766,1.2678672985781991,0.7533011807749875,0.8597979797979799,0.8264953040039547,0.8474885844748858,11.409395973154362,10.714285714285714
Burnley,19,16,0.797239475500345,0.793733681462141,28,31,1.4816362053959964,1.2194616977225672,1.0261603375527428,1.302857142857143,0.0,0.7599999999999999,0.7326966803092314,0.6711522287636669,0.9472187369301548,0.8764612954186415,0.825766395032984,0.7312121212121212,0.7830834294502116,0.7123287671232876,10.857142857142858,12.598425196850393
Cardiff,18,9,0.7080745341614907,0.5102573666542335,31,26,1.5378590078328982,1.1688849452824608,1.2025316455696202,0.9099319727891156,0.0,0.8685714285714284,0.7128240109140518,0.73050582722576,0.9952948557089084,0.9262017603249831,0.8714784633294529,0.8751515151515152,0.8546712802768167,0.8767123287671232,9.137055837563452,6.7669172932330826
Chelsea,29,21,1.216839199447895,1.1112271540469973,10,23,0.5291557876414272,0.9650793650793651,0.6841068917018285,0.8492698412698412,0.0,0.0,1.2303774442928603,1.1420241098962713,0.801003764115433,0.8964718272775146,1.184384943733023,1.3756767676767678,1.0519031141868513,1.095890410958904,11.553784860557768,9.375
Crystal Palace,11,25,0.461559696342305,1.3228894691035684,17,24,0.8995648389904264,1.00703933747412,0.8551336146272855,1.158095238095238,1.3511111111111112,0.8106666666666666,0.8294679399727148,0.9204373423044575,0.9217900460058552,1.0565560821484994,1.1466356228172292,0.9334949494949495,1.332410611303345,0.8913242009132419,4.526748971193416,16.447368421052634
Everton,23,20,0.9047619047619048,1.0583115752828545,21,21,1.04177545691906,0.8811594202898549,0.8818565400843882,1.0422857142857143,0.0,3.2426666666666666,0.8424283765347885,1.056798430053266,1.138331242158093,1.0373459715639812,0.9776484284051222,0.9334949494949495,1.0080738177623991,1.0228310502283107,10.407239819004525,13.157894736842104
Fulham,19,10,0.797239475500345,0.4960835509138381,30,40,1.587467362924282,1.5734989648033126,1.2399437412095642,0.940952380952381,1.3511111111111112,0.7599999999999999,1.0644838562983174,0.7830109335576114,1.0870765370138018,1.1165876777251185,1.0994489716724873,0.8003030303030303,0.9350249903883122,0.6438356164383562,8.15450643776824,7.194244604316546
Huddersfield,7,11,0.2753623188405797,0.58207136640557,24,33,1.1906005221932114,1.3846790890269152,0.8417721518987342,0.9650793650793651,3.8,0.8106666666666666,0.6091405184174624,0.8693019343986543,1.0489335006273526,1.069362822538178,0.7653084982537834,0.9826262626262626,0.7889273356401385,0.9205479452054794,4.046242774566474,6.875000000000001
Leicester,19,21,0.797239475500345,1.04177545691906,19,24,1.0053959965187118,0.9440993788819876,1.1971870604781998,0.7961904761904762,2.7022222222222223,2.28,1.0368349249658935,1.1026072329688814,0.9535759096612296,0.8524486571879938,1.1088863019014357,1.0421212121212122,1.0285274894271434,1.2191780821917808,8.085106382978724,11.602209944751381
Liverpool,44,26,1.84623878536922,1.2898172323759791,9,9,0.4762402088772846,0.35403726708074534,0.5558368495077356,0.6514285714285715,1.3511111111111112,0.7599999999999999,1.437744429286039,1.3582842724978974,0.8327896277708071,0.9004739336492892,1.283476911136981,1.116969696969697,1.2389081122645138,1.3424657534246576,16.176470588235293,13.402061855670103
